id,coinc_event_id,eiso,dist,z,theta_view,theta_c,theta_eff,on_axis,long,lat,time_utc,obs_run,ifos,snr,area(20),area(50),area(90),dist(20),dist(50),dist(90),vol(20),vol(50),vol(90)
690,690,1.95e+49,1210000.0,0.234,4.027,9.27,-5.242999999999999,True,3.087,-0.465,2012-06-26 11:59:43.263,O5,"['H1', 'K1', 'L1', 'V1']",9.142499398568644,33.46535118974413,158.43511299923844,838.8682971454939,152.17204550378108,405.0728540779476,986.4020226756086,4764463.141977357,25508045.416465327,176413082.9475276
691,691,7.150000000000001e+50,786000.0,0.159,31.65,8.222,23.428,False,3.33,-0.792,2011-12-12 05:20:00.942,O5,"['H1', 'K1', 'L1', 'V1']",9.326079273531652,31.084610423723625,159.12681380436774,1313.8546535418182,155.47235167693668,414.4476340954965,1024.0406236353754,3611550.268210351,20545426.504037824,234705814.5607627
692,692,3.58e+51,378000.0,0.08,81.988,39.797,42.191,False,1.837,-0.082,2012-02-02 07:06:50.824,O5,"['H1', 'K1', 'L1', 'V1']",8.97767762901886,43.68987889106618,167.6430397486965,1272.379414935015,134.59369508620512,358.9472292851673,878.9428072435746,2722104.8819633983,13969432.839477297,180790322.94536784
693,693,1.54e+51,730000.0,0.149,20.265,26.513,-6.248000000000001,True,0.022,-0.836,2012-06-15 04:07:20.106,O5,"['H1', 'L1']",9.827734407055464,142.85736633938643,460.49909950852384,2017.482831014168,102.11010412110602,270.72087645256767,648.4804198497202,5431748.468514645,18598072.662002902,94671402.00664444
694,694,4.21e+47,773000.0,0.157,37.891,22.004,15.886999999999995,False,5.232,-1.161,2012-08-08 17:21:37.891,O5,"['H1', 'K1', 'V1']",9.55851503895278,491.55614071329336,1586.4301791318323,6165.662356545475,141.08818358108738,375.4994356198479,914.2161463407684,36452977.41534169,142310846.75842005,721186245.9969319
695,695,9.72e+50,604000.0,0.125,42.341,13.013,29.328000000000003,False,5.304,1.195,2011-10-30 19:35:13.278,O5,"['H1', 'K1', 'L1', 'V1']",11.04548231821691,1.160284380804799,4.056018066146021,27.5337034091934,74.7890939347883,199.6849134645932,496.9952254684689,32830.49601602763,141390.67805186947,1479320.3400623987
696,696,2.1e+49,511000.0,0.107,37.822,26.481,11.341,False,2.59,-0.425,2012-02-22 23:20:32.839,O5,"['H1', 'K1', 'L1']",8.924517036925767,18.86705587192324,94.82768407432977,571.2118197791739,101.02696794238511,272.2289476594447,682.0062146066825,415033.82818660815,3425360.4995626174,36444197.59819463
697,697,3.6e+49,2130000.0,0.383,5.556,5.938,-0.3819999999999997,True,0.861,-0.448,2012-02-27 06:33:55.540,O5,"['H1', 'K1', 'L1', 'V1']",8.245660416713825,93.30246306405476,1258.155838694351,17762.34215495015,191.3754445331881,508.49893285471353,1226.9047546732968,22366532.920490265,357392800.568657,6216141059.209391
698,698,1.8e+50,516000.0,0.108,21.933,11.044,10.889,False,2.484,0.258,2011-11-08 23:58:05.084,O5,"['H1', 'V1']",8.196163328775638,363.7579855128554,1486.576208754127,7279.420661980735,132.6640828897614,352.8589435244371,858.0647472517451,20331033.42763626,98876306.18644156,693802036.321444
699,699,7.17e+49,868000.0,0.174,30.015,23.147,6.868000000000002,False,4.139,-0.822,2012-02-20 03:37:50.539,O5,"['H1', 'K1', 'L1', 'V1']",10.17117316215379,26.612372193298576,84.60141084368308,334.6427804017416,112.55597741207566,299.5546565482145,728.8480399958444,1533127.8321742637,5845927.379011918,31966268.28641303
700,700,3.34e+48,507000.0,0.106,41.682,18.968,22.714,False,1.253,0.04,2012-08-06 05:03:42.377,O5,"['H1', 'L1', 'V1']",9.751789506363652,13.600406062045678,42.09728996996638,174.14241567460968,83.11840814486266,221.43572801896016,542.9758128052484,357058.5298878163,1367117.6691048336,8459561.06498374
701,701,8.339999999999991e+50,551000.0,0.115,60.965,11.991,48.974,False,1.356,-1.04,2012-08-24 09:17:41.420,O5,"['H1', 'K1', 'L1', 'V1']",8.690027471029635,3.567942500663197,19.04381795970608,3536.779878546551,160.12207935359675,427.4503783056919,1041.982393113826,269089.4241182401,2116429.263744803,752285616.4733249
702,702,7.19e+48,987000.0,0.196,17.765,9.871,7.894,False,4.304,-1.204,2012-01-22 04:12:41.227,O5,"['H1', 'L1', 'V1']",10.00349670482531,3.2676295070441888,13.288122441516878,288.4227370911896,110.9500920825118,295.67561593816106,725.6405521800305,192620.85176186,1011273.9479808272,28489876.7137684
703,703,1.43e+50,252000.0,0.055,9.364,9.26,0.1040000000000009,False,3.271,0.368,2012-06-12 17:32:11.343,O5,['L1'],12.1938415937238,2861.0263665764896,8594.433215797864,25141.042430045152,62.69528868353183,164.93732661690774,383.2854239984596,29339863.401315387,78706334.36687239,200318998.15275145
704,704,3.07e+51,907000.0,0.181,43.133,10.785,32.348,False,2.016,-0.198,2012-01-04 18:10:05.184,O5,"['H1', 'K1', 'L1', 'V1']",8.024444609723501,30.08477002929264,154.2668382168973,3643.023540135327,156.15615563693484,415.1354679755809,1003.5457098888014,4172868.899148931,26997219.26707572,832727205.6378055
705,705,1.44e+48,3750000.0,0.616,32.784,13.169,19.615,False,5.703,0.436,2012-02-02 22:24:50.793,O5,"['H1', 'K1', 'L1', 'V1']",8.080744498028814,4412.388795642763,14242.425218273738,33714.7699294445,175.95923084976744,468.7200411303518,1146.5797750651896,1452641317.1598325,4929446029.314873,13775929671.126583
706,706,3.59e+50,387000.0,0.082,50.132,16.969,33.163,False,5.428,0.118,2012-04-25 03:10:37.106,O5,"['K1', 'L1', 'V1']",9.9756729897655,37.906857642392936,120.8644196639609,470.8725066015184,66.43776563880328,176.9536458885769,432.6654012510064,579613.2095901493,2310601.401623484,12728978.234199082
